record_id,site,season,block,plot,crop,management_system,rainfall_mm,soil_moisture_pct,mulch_coverage_pct,irrigation_events,nitrogen_kg_ha,yield_t_ha,water_use_efficiency_kg_m3,weather_station_serial_digit,gross_revenue_usd_ha
CSA-0001,Andes-high,2024-25,1,1,sweetpotato,improved,625.2,16.1,41.7,3.4,66.0,24.62,35.44,5758,7247.66
CSA-0002,Andes-high,2024-25,1,2,potato,improved,669.4,28.1,75.6,1.8,86.9,38.04,58.1,7586,12108.81
CSA-0003,Andes-high,2024-25,1,3,sweetpotato,improved,579.6,21.8,70.9,4.8,100.9,31.37,43.01,9279,9981.72
CSA-0004,Andes-high,2024-25,1,4,potato,improved,576.4,28.6,69.2,3.2,94.4,37.55,54.35,7538,10376.8
CSA-0005,Andes-high,2024-25,1,5,sweetpotato,improved,630.9,23.6,66.0,2.4,107.2,30.26,45.14,3910,8090.06
CSA-0006,Andes-high,2024-25,1,6,potato,improved,636.1,22.5,55.1,5.6,108.3,29.56,39.46,2683,7543.27
CSA-0007,Andes-high,2024-25,1,7,sweetpotato,improved,654.3,16.7,36.6,4.3,102.6,27.1,37.83,4753,7168.22
CSA-0008,Andes-high,2024-25,1,8,potato,improved,588.7,26.5,93.2,4.3,51.3,32.97,45.9,3921,9903.32
CSA-0009,Andes-high,2024-25,1,9,sweetpotato,improved,627.3,23.4,59.9,3.5,109.6,31.17,44.76,9493,7819.13
CSA-0010,Andes-high,2024-25,1,10,potato,improved,584.7,20.2,15.2,4.3,87.7,32.65,45.44,3690,10058.69
CSA-0011,Andes-high,2024-25,2,1,sweetpotato,farmer-practice,587.0,24.9,49.7,2.4,129.9,32.57,48.69,5954,9538.66
CSA-0012,Andes-high,2024-25,2,2,potato,farmer-practice,607.6,25.5,100,3.5,123.0,34.04,48.81,8256,10459.9
CSA-0013,Andes-high,2024-25,2,3,sweetpotato,farmer-practice,599.5,22.1,29.5,5.0,88.5,30.51,41.48,8743,8545.7
CSA-0014,Andes-high,2024-25,2,4,potato,farmer-practice,608.3,15.9,91.6,2.2,109.9,31.93,47.96,6817,9824.42
CSA-0015,Andes-high,2024-25,2,5,sweetpotato,farmer-practice,677.5,26.3,62.5,4.4,104.3,35.85,49.71,9643,9172.82
CSA-0016,Andes-high,2024-25,2,6,potato,farmer-practice,607.6,24.4,82.7,3.3,80.4,35.91,51.91,2402,10905.15
CSA-0017,Andes-high,2024-25,2,7,sweetpotato,farmer-practice,578.9,28.4,99.4,5.5,79.9,39.52,52.82,5628,11835.89
CSA-0018,Andes-high,2024-25,2,8,potato,farmer-practice,636.9,32.0,51.2,6.5,36.6,34.42,44.49,1601,9157.33
CSA-0019,Andes-high,2024-25,2,9,sweetpotato,farmer-practice,647.0,24.9,62.5,6.1,101.9,32.06,42.09,3356,10458.91
CSA-0020,Andes-high,2024-25,2,10,potato,farmer-practice,633.3,24.6,75.9,2.5,67.6,34.21,50.84,1090,10081.42
CSA-0021,Andes-high,2024-25,3,1,sweetpotato,improved,635.7,31.7,65.0,5.3,67.6,39.21,52.77,5088,10447.35
CSA-0022,Andes-high,2024-25,3,2,potato,improved,633.8,28.5,50.3,5.0,76.4,36.77,50.1,2674,11810.98
CSA-0023,Andes-high,2024-25,3,3,sweetpotato,improved,653.8,24.3,70.2,5.6,47.8,34.57,46.12,9386,9063.61
CSA-0024,Andes-high,2024-25,3,4,potato,improved,615.5,26.2,40.7,4.6,91.2,30.37,41.96,1991,7706.7
CSA-0025,Andes-high,2024-25,3,5,sweetpotato,improved,602.3,25.7,50.8,5.8,54.7,32.45,42.96,9952,8682.7
CSA-0026,Andes-high,2024-25,3,6,potato,improved,595.8,14.8,76.5,5.0,106.8,26.17,35.62,4006,7466.8
CSA-0027,Andes-high,2024-25,3,7,sweetpotato,improved,580.2,16.3,34.2,4.0,75.0,24.7,34.76,2993,7552.78
CSA-0028,Andes-high,2024-25,3,8,potato,improved,578.0,28.9,63.6,5.7,87.0,36.28,48.24,8338,10358.54
CSA-0029,Andes-high,2024-25,3,9,sweetpotato,improved,607.1,26.3,55.1,4.8,64.4,30.61,42.0,9568,8778.69
CSA-0030,Andes-high,2024-25,3,10,potato,improved,674.7,19.3,56.9,5.9,122.7,29.18,38.55,5771,8430.22
CSA-0031,Andes-high,2024-25,4,1,sweetpotato,farmer-practice,613.9,13.7,38.4,5.9,78.1,19.03,25.1,7917,5373.77
CSA-0032,Andes-high,2024-25,4,2,potato,farmer-practice,619.6,26.7,48.3,3.9,95.0,32.4,45.81,1603,9684.71
CSA-0033,Andes-high,2024-25,4,3,sweetpotato,farmer-practice,643.8,17.2,60.3,1.8,90.7,29.65,45.35,2355,9591.76
CSA-0034,Andes-high,2024-25,4,4,potato,farmer-practice,577.4,26.3,58.9,6.6,119.2,33.13,42.7,5409,10600.68
CSA-0035,Andes-high,2024-25,4,5,sweetpotato,farmer-practice,660.6,23.3,29.9,4.9,123.0,27.64,37.74,5381,8790.72
CSA-0036,Andes-high,2024-25,4,6,potato,farmer-practice,541.4,25.3,71.6,2.6,102.8,37.47,55.59,1627,10706.15
CSA-0037,Andes-high,2024-25,4,7,sweetpotato,farmer-practice,659.1,20.1,18.1,2.2,101.1,24.48,36.87,2428,6166.1
CSA-0038,Andes-high,2024-25,4,8,potato,farmer-practice,575.7,23.9,50.2,2.1,55.1,30.45,45.9,1420,9988.42
CSA-0039,Andes-high,2024-25,4,9,sweetpotato,farmer-practice,548.4,13.1,78.5,7.3,124.6,23.14,29.2,4541,6602.87
CSA-0040,Andes-high,2024-25,4,10,potato,farmer-practice,615.5,33.3,35.1,3.7,116.9,35.7,50.9,2887,9498.37
CSA-0041,Coast-dry,2024-25,1,1,sweetpotato,improved,-2.3,14.6,61.0,11.1,150.9,39.26,80,4580,11338.86
CSA-0042,Coast-dry,2024-25,1,2,potato,improved,60.8,23.1,76.8,7.7,105.7,36.72,80,3829,11690.75
CSA-0043,Coast-dry,2024-25,1,3,sweetpotato,improved,66.2,19.1,18.6,13.5,134.6,33.24,80,7140,9394.59
CSA-0044,Coast-dry,2024-25,1,4,potato,improved,57.5,26.2,71.6,14.0,105.5,38.42,80,5845,10861.37
CSA-0045,Coast-dry,2024-25,1,5,sweetpotato,improved,62.7,23.4,65.2,9.7,63.2,38.65,80,2720,10738.17
CSA-0046,Coast-dry,2024-25,1,6,potato,improved,142.5,17.3,70.8,13.7,68.2,38.38,80,2389,11227.97
CSA-0047,Coast-dry,2024-25,1,7,sweetpotato,improved,17.3,22.6,63.2,12.0,94.4,40.93,80,3614,11213.47
CSA-0048,Coast-dry,2024-25,1,8,potato,improved,53.2,16.1,64.4,12.5,67.5,32.75,80,8728,8578.15
CSA-0049,Coast-dry,2024-25,1,9,sweetpotato,improved,30.6,28.7,15.5,11.6,90.0,37.21,80,9820,9785.81
CSA-0050,Coast-dry,2024-25,1,10,potato,improved,84.3,27.5,54.6,10.2,76.7,34.43,80,8399,10615.58
CSA-0051,Coast-dry,2024-25,2,1,sweetpotato,farmer-practice,69.9,19.0,0,10.3,89.3,33.36,80,8474,8697.47
CSA-0052,Coast-dry,2024-25,2,2,potato,farmer-practice,84.3,19.4,80.2,13.4,56.7,32.62,80,4184,8555.88
CSA-0053,Coast-dry,2024-25,2,3,sweetpotato,farmer-practice,28.6,15.9,43.3,11.3,121.5,29.68,80,3296,8018.84
CSA-0054,Coast-dry,2024-25,2,4,potato,farmer-practice,93.9,24.3,46.3,12.6,46.1,38.42,80,2143,12412.16
CSA-0055,Coast-dry,2024-25,2,5,sweetpotato,farmer-practice,77.5,18.4,51.2,11.8,66.9,35.43,80,4144,11401.54
CSA-0056,Coast-dry,2024-25,2,6,potato,farmer-practice,76.0,21.2,11.4,11.5,84.6,32.51,80,8750,9058.47
CSA-0057,Coast-dry,2024-25,2,7,sweetpotato,farmer-practice,85.4,19.5,50.6,12.1,88.3,33.32,80,6786,8384.2
CSA-0058,Coast-dry,2024-25,2,8,potato,farmer-practice,110.9,20.1,12.9,12.3,52.3,35.55,80,5566,10781.16
CSA-0059,Coast-dry,2024-25,2,9,sweetpotato,farmer-practice,14.3,22.5,56.5,10.1,69.6,36.46,80,4147,10612.45
CSA-0060,Coast-dry,2024-25,2,10,potato,farmer-practice,26.9,27.1,25.9,10.2,112.9,37.32,80,6531,10068.04
CSA-0061,Coast-dry,2024-25,3,1,sweetpotato,improved,28.2,20.8,78.3,9.3,100.9,34.26,80,7775,10545.34
CSA-0062,Coast-dry,2024-25,3,2,potato,improved,86.8,27.3,64.4,10.0,83.7,42.21,80,4556,11967.0
CSA-0063,Coast-dry,2024-25,3,3,sweetpotato,improved,138.8,24.6,0,10.1,88.8,30.18,80,3413,8544.05
CSA-0064,Coast-dry,2024-25,3,4,potato,improved,61.1,23.7,8.4,9.9,108.3,32.08,80,8181,9310.79
CSA-0065,Coast-dry,2024-25,3,5,sweetpotato,improved,48.7,17.9,47.6,10.7,124.5,33.61,80,2183,10974.6
CSA-0066,Coast-dry,2024-25,3,6,potato,improved,55.1,33.0,11.3,9.7,63.9,37.94,80,9982,11648.71
CSA-0067,Coast-dry,2024-25,3,7,sweetpotato,improved,55.3,24.9,7.8,9.0,86.7,32.14,80,8466,8654.39
CSA-0068,Coast-dry,2024-25,3,8,potato,improved,63.3,23.2,26.7,12.1,97.7,35.5,80,3122,9881.97
CSA-0069,Coast-dry,2024-25,3,9,sweetpotato,improved,19.9,28.0,62.7,11.8,102.2,40.6,80,9062,10375.09
CSA-0070,Coast-dry,2024-25,3,10,potato,improved,99.3,31.2,37.3,10.1,124.4,40.19,80,5428,10959.99
CSA-0071,Coast-dry,2024-25,4,1,sweetpotato,farmer-practice,57.4,25.7,44.8,12.5,80.0,39.11,80,6305,10053.13
CSA-0072,Coast-dry,2024-25,4,2,potato,farmer-practice,124.0,16.2,36.6,13.2,83.8,33.64,80,2444,9606.31
CSA-0073,Coast-dry,2024-25,4,3,sweetpotato,farmer-practice,58.3,22.9,78.4,10.0,80.3,39.21,80,4081,12160.65
CSA-0074,Coast-dry,2024-25,4,4,potato,farmer-practice,52.0,21.3,48.0,13.3,122.0,35.71,80,5286,9056.04
CSA-0075,Coast-dry,2024-25,4,5,sweetpotato,farmer-practice,50.3,22.9,60.6,9.8,135.4,36.0,80,8409,11551.99
CSA-0076,Coast-dry,2024-25,4,6,potato,farmer-practice,46.7,16.0,25.0,11.2,75.8,28.42,80,6430,9223.08
CSA-0077,Coast-dry,2024-25,4,7,sweetpotato,farmer-practice,25.0,25.4,79.1,10.8,109.1,39.7,80,8011,12440.78
CSA-0078,Coast-dry,2024-25,4,8,potato,farmer-practice,18.6,19.3,68.0,10.8,83.1,32.32,80,1296,9963.75
