record_id,accession_id,crop_group,storage_method,storage_room,lab_batch,regeneration_cycle,evaluation_year,storage_duration_months,contamination_load_pct,cold_room_temperature_c,subculture_count,viability_pct,tray_position_number,viability_loss_pct
GBR-0023,ACC-SYN-00023,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,37.2,6.25,8.51,7,82.78,437,17.22
GBR-0189,ACC-SYN-00189,potato,cryogenic,ROOM-4,BATCH-2025-06,2,2026,84.7,2.87,-20.15,3,92.22,460,7.78
GBR-0032,ACC-SYN-00032,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,65.3,8.88,7.92,5,76.99,616,23.01
GBR-0163,ACC-SYN-00163,sweetpotato,in-vitro,ROOM-2,BATCH-2025-04,4,2026,72.1,11.21,3.8,10,74.5,507,25.5
GBR-0122,ACC-SYN-00122,andean-root,in-vitro,ROOM-3,BATCH-2024-03,3,2025,106.8,0,7.42,5,81.72,592,18.28
GBR-0013,ACC-SYN-00013,sweetpotato,in-vitro,ROOM-2,BATCH-2025-06,2,2026,27.7,11.8,4.78,6,83.64,857,16.36
GBR-0226,ACC-SYN-00226,sweetpotato,in-vitro,ROOM-5,BATCH-2024-03,3,2025,125.5,12.97,4.75,10,68.76,461,31.24
GBR-0104,ACC-SYN-00104,andean-root,IN-VITRO,ROOM-3,BATCH-2024-01,1,2025,46.6,14.78,8.48,9,78.54,354,21.46
GBR-0015,ACC-SYN-00015,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,32.4,3.72,-19.34,10,92.12,584,7.88
GBR-0038,ACC-SYN-00038,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,131.2,11.64,7.81,8,67.36,526,32.64
GBR-0095,ACC-SYN-00095,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,65.1,8.66,8.27,12,78.85,903,21.15
GBR-0167,ACC-SYN-00167,andean-root,in-vitro,ROOM-6,BATCH-2025-08,4,2026,119.0,2.88,8.59,10,74.31,458,25.69
GBR-0224,ACC-SYN-00224,andean-root,in-vitro,ROOM-3,BATCH-2024-01,1,2025,88.7,7.65,8.89,3,72.31,195,27.69
GBR-0007,ACC-SYN-00007,sweetpotato,in-vitro,ROOM-2,BATCH-2025-08,4,2026,125.8,6.06,3.6,4,73.26,787,26.74
GBR-0182,ACC-SYN-00182,andean-root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,125.6,9.95,7.39,1,67.18,245,32.82
GBR-0172,ACC-SYN-00172,sweetpotato,in-vitro,ROOM-5,BATCH-2024-05,1,2025,75.4,2.09,4.15,8,81.52,592,18.48
GBR-0064,ACC-SYN-00064,sweetpotato,in-vitro,ROOM-5,BATCH-2024-01,1,2025,19.0,8.18,4.72,4,88.2,729,11.8
GBR-0145,ACC-SYN-00145,sweetpotato,in-vitro,ROOM-2,,2,2026,40.4,6.03,3.99,8,85.5,963,14.5
GBR-0210,ACC-SYN-00210,potato,cryogenic,ROOM-1,BATCH-2024-03,3,2025,113.8,0.99,-19.59,8,84.94,670,15.06
GBR-0110,ACC-SYN-00110,Andean Root,in-vitro,ROOM-3,BATCH-2024-07,3,2025,14.5,9.79,9.19,6,75.36,521,24.64
GBR-0055,ACC-SYN-00055,sweetpotato,in vitro,ROOM-2,,4,2026,100.1,4.01,5.17,5,80.54,695,19.46
GBR-0102,ACC-SYN-00102,potato,cryogenic,ROOM-1,BATCH-2024-07,3,2025,76.4,2.83,-19.52,12,92.72,785,7.28
GBR-0161,ACC-SYN-00161,andean-root,,ROOM-6,BATCH-2025-02,2,2026,29.2,6.29,7.5,8,81.99,164,18.01
GBR-0140,ACC-SYN-00140,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,131.1,4.5,8.69,5,72.06,931,27.94
GBR-0169,ACC-SYN-00169,sweetpotato,in-vitro,ROOM-2,BATCH-2025-02,2,2026,24.4,,4.89,3,89.17,321,10.83
GBR-0212,ACC-SYN-00212,andean-root,in-vitro,ROOM-3,BATCH-2024-05,1,2025,28.5,3.41,8.74,11,89.54,211,10.46
GBR-0166,ACC-SYN-00166,sweetpotato,in-vitro,ROOM-5,BATCH-2024-07,3,2025,116.7,6.21,3.05,8,72.23,952,27.77
GBR-0135,ACC-SYN-00135,potato,cryogenic,ROOM-4,BATCH-2025-08,4,2026,118.0,0.53,-20.03,1,84.77,116,15.23
GBR-0171,ACC-SYN-00171,potato,cryo,ROOM-4,BATCH-2025-04,4,2026,48.1,0,-19.73,5,98.11,269,1.89
