record_id,community_code,region,survey_round,sampling_visit,households_interviewed,altitude_band,altitude_m,market_distance_km,morphotype_id,local_variety_name,skin_primary_color,main_use,seed_exchange_events_year,number_of_reported_uses,years_reported_in_community,observed_next_season,interviewer_badge_number,next_season_observed_copy
NPB-0001,COM-01,Cusco,2025-baseline,2,32,low,2474.6,9.7,MOR-SYN-054,Azul,multicolour,ceremonial,5,2,56,1,6721,1
NPB-0002,COM-01,Cusco,2025-baseline,4,19,low,2439.0,10.4,MOR-SYN-051,Qeqorani,purple,chuño,0,5,67,1,8110,1
NPB-0003,COM-01,Cusco,2025-baseline,1,38,low,2384.1,16.8,MOR-SYN-031,Qeqorani,purple,chuño,2,3,59,1,4067,1
NPB-0004,COM-01,Cusco,2025-baseline,3,33,low,2438.5,3.0,MOR-SYN-016,Amarilla,purple,chuño,5,2,30,1,7406,1
NPB-0005,COM-01,Cusco,2025-baseline,3,17,low,2441.9,11.4,MOR-SYN-052,Ccompis,yellow,soup,6,4,51,1,3884,1
NPB-0006,COM-01,Cusco,2025-baseline,4,22,low,2398.7,7.1,MOR-SYN-002,Ccompis,yellow,soup,4,1,18,0,2461,0
NPB-0007,COM-01,Cusco,2025-baseline,1,12,low,2399.7,7.0,MOR-SYN-045,Muru,red,boiling,3,1,22,0,3040,0
NPB-0008,COM-01,Cusco,2025-baseline,2,14,low,2413.1,6.5,MOR-SYN-060,Yana,red,boiling,5,2,63,0,8717,0
NPB-0009,COM-01,Cusco,2025-baseline,2,35,low,2392.1,15.7,MOR-SYN-025,Muru,red,boiling,6,3,25,1,5951,1
NPB-0010,COM-01,Cusco,2025-baseline,4,25,low,2430.1,-3.9,MOR-SYN-053,Peruanita,cream,market,0,2,12,0,6099,0
NPB-0011,COM-01,Cusco,2025-baseline,3,19,low,2356.8,6.3,MOR-SYN-013,Peruanita,cream,market,5,5,44,1,2671,1
NPB-0012,COM-01,Cusco,2025-baseline,1,13,low,2452.0,3.1,MOR-SYN-007,Sani,yellow,soup,0,4,68,1,7180,1
