column,data_type,unit,role,valid_values_or_range,description,cleaning_notes
record_id,string,none,primary_key,unique PBT-####,Synthetic plot observation identifier.,
site,category,none,design,La Molina|Huancayo|Cajamarca|Canete,Trial location.,
season,category,none,design,2024-A|2025-A,Cropping season.,
block,integer,none,design,1-3,Randomized block number.,
replicate,integer,none,design,1-3,"Replicate, equal to block in this teaching design.",
genotype,category,none,design,CIP-SYN-001..012,Fictitious breeding-line identifier.,
altitude_m,number,m,context,0-4500,Site altitude.,
rainfall_mm,number,mm/season,context,0-1500,Accumulated seasonal rainfall.,
mean_temperature_c,number,deg C,context,0-35,Mean growing-season temperature.,
irrigation_mm,number,mm/season,confounded_exposure,0-800,Applied irrigation; confounded by site.,
canopy_cover_pct,number,%,predictor,0-100,Peak canopy cover; planted positive relationship with yield.,
late_blight_severity_pct,number,%,predictor,0-100,Synthetic disease severity; planted negative relationship with yield.,
soil_ph,number,pH,context,3.0-9.0,Topsoil pH.,
yield_t_ha,number,t/ha,outcome,0-80,Harvested tuber yield.,
dry_matter_pct,number,%,outcome_secondary,0-40,Tuber dry matter.,
plot_marker_number,integer,none,null,1000-9999,Random marker deliberately unrelated to yield.,
harvest_value_usd_ha,number,USD/ha,leakage,>=0,Post-harvest value computed from yield and price; do not use to predict yield.,
