record_id,site,season,block,replicate,genotype,altitude_m,rainfall_mm,mean_temperature_c,irrigation_mm,canopy_cover_pct,late_blight_severity_pct,soil_ph,yield_t_ha,dry_matter_pct,plot_marker_number,harvest_value_usd_ha
PBT-0257,Canete,2025-A,2,2,CIP-SYN-002,75.5,29.6,22.4,469.5,74.4,0,5.83,34.88,16.2,6611,8908.6
PBT-0133,canete,2024-A,1,1,CIP-SYN-009,81.1,77.5,22.9,460.6,65.9,0,6.17,33.93,19.3,8718,10073.13
PBT-0123,Canete,2024-A,3,3,CIP-SYN-005,63.9,17.8,23.4,494.3,86.5,11.3,5.87,39.92,16.2,5893,11008.2
PBT-0065,Huancayo,2024-A,2,2,CIP-SYN-010,3271.3,556.1,11.2,147.0,71.1,135.0,5.8,22.76,19.5,1684,6650.26
PBT-0162,La Molina,2025-A,3,3,CIP-SYN-006,236.8,102.4,20.6,394.3,72.3,3.6,5.95,34.81,16.4,8747,10881.48
PBT-0276,Cañete,2025-A,3,3,CIP-SYN-008,75.0,46.4,23.3,428.5,73.1,21.7,5.91,35.56,20.7,3143,10953.66
PBT-0233,Cajamarca,2025-A,2,2,CIP-SYN-006,2735.8,686.9,13.8,207.9,61.4,,5.9,23.94,18.7,5397,7299.09
PBT-0155,La Molina,2025-A,2,2,CIP-SYN-004,222.5,132.1,22.1,404.0,61.0,0,5.75,31.12,20.0,7792,8636.01
PBT-0066,Huancayo,2024-A,3,3,CIP-SYN-010,3286.3,431.1,10.8,125.5,79.9,32.4,5.25,24.99,16.7,9637,7290.66
PBT-0030,La Molina,2024-A,3,3,CIP-SYN-010,231.3,74.2,21.2,418.7,69.6,11.5,5.79,34.01,18.8,1933,10376.81
PBT-0174,La Molina,2025-A,3,3,CIP-SYN-010,820 ft,151.3,22.0,415.4,68.2,12.9,5.87,31.33,19.3,8553,9140.48
PBT-0134,Canete,2024-A,2,2,CIP-SYN-009,63.0,80.0,23.7,456.6,70.8,9.6,6.9,36.69,19.9,4656,9696.47
