record_id,lot_id,country_site,crop,season,producer_scale,inspection_round,multiplication_cycle,virus_incidence_pct,training_visits,inspection_fee_usd,lot_weight_kg,marketable_seed_pct,rejection_pct,bag_label_number,marketable_seed_fraction
SSQ-0001,LOT-SYN-00001,Kenya-Nakuru,potato,2025-B,medium,2,2,4.37,6,32.53,636.0,92.18,7.82,1817,0.9218
SSQ-0002,LOT-SYN-00002,Uganda-Kabale,potato,2025-A,commercial,3,3,3.55,1,22.71,385.9,83.38,16.62,5312,0.8338
SSQ-0003,LOT-SYN-00003,India-Karnataka,sweetpotato,2025-B,small,1,4,3.53,6,45.0,514.8,94.6,5.4,3245,0.946
SSQ-0004,LOT-SYN-00004,Peru-Cusco,potato,2025-A,medium,2,5,11.17,3,19.95,547.6,68.82,31.18,6116,0.6882
SSQ-0005,LOT-SYN-00005,Kenya-Nakuru,potato,2025-B,commercial,3,1,6.33,7,29.9,384.1,92.48,7.52,3053,0.9248
SSQ-0006,LOT-SYN-00006,Uganda-Kabale,sweetpotato,2025-A,small,1,2,6.11,6,27.34,293.0,86.28,13.72,6974,0.8628
SSQ-0007,LOT-SYN-00007,India-Karnataka,potato,2025-B,medium,2,3,16.44,4,36.53,615.8,75.22,24.78,9469,0.7522
SSQ-0008,LOT-SYN-00008,Peru-Cusco,potato,2025-A,commercial,3,4,11.46,1,24.38,645.9,65.53,34.47,2131,0.6553
SSQ-0009,LOT-SYN-00009,Kenya-Nakuru,sweetpotato,2025-B,small,1,5,4.57,3,32.71,545.2,92.93,7.07,5339,0.9293
SSQ-0010,LOT-SYN-00010,Uganda-Kabale,potato,2025-A,medium,2,1,12.29,6,27.83,873.3,80.7,19.3,8180,0.807
SSQ-0011,LOT-SYN-00011,India-Karnataka,potato,2025-B,commercial,3,2,11.11,1,39.74,642.1,85.03,14.97,1831,0.8503
SSQ-0012,LOT-SYN-00012,Peru-Cusco,sweetpotato,2025-A,small,1,3,9.6,4,15.85,422.0,77.45,22.55,8722,0.7745
SSQ-0013,LOT-SYN-00013,Kenya-Nakuru,potato,2025-B,medium,2,4,17.51,2,41.63,623.1,65.49,34.51,2821,0.6549
SSQ-0014,LOT-SYN-00014,Uganda-Kabale,potato,2025-A,commercial,3,5,16.41,4,25.9,505.0,70.72,29.28,5269,0.7072
SSQ-0015,LOT-SYN-00015,India-Karnataka,sweetpotato,2025-B,small,1,1,10.31,2,38.71,190.3,81.24,18.76,9204,0.8124
SSQ-0016,LOT-SYN-00016,Peru-Cusco,potato,2025-A,medium,2,2,9.9,1,20.59,598.6,72.06,27.94,1528,0.7206
SSQ-0017,LOT-SYN-00017,Kenya-Nakuru,potato,2025-B,commercial,3,3,9.35,2,34.99,419.1,81.98,18.02,6041,0.8198
SSQ-0018,LOT-SYN-00018,Uganda-Kabale,sweetpotato,2025-A,small,1,4,4.62,7,25.0,167.2,93.66,6.34,9012,0.9366
SSQ-0019,LOT-SYN-00019,India-Karnataka,potato,2025-B,medium,2,5,9.45,3,43.77,629.1,89.51,10.49,6993,0.8951
SSQ-0020,LOT-SYN-00020,Peru-Cusco,potato,2025-A,commercial,3,1,13.8,6,17.76,571.7,72.83,27.17,3715,0.7283
SSQ-0021,LOT-SYN-00021,Kenya-Nakuru,sweetpotato,2025-B,small,1,2,16.0,3,36.97,536.0,74.78,25.22,1238,0.7478
SSQ-0022,LOT-SYN-00022,Uganda-Kabale,potato,2025-A,medium,2,3,17.02,6,25.1,843.3,75.76,24.24,6117,0.7576
SSQ-0023,LOT-SYN-00023,India-Karnataka,potato,2025-B,commercial,3,4,9.98,1,39.28,419.1,90.12,9.88,7549,0.9012
SSQ-0024,LOT-SYN-00024,Peru-Cusco,sweetpotato,2025-A,small,1,5,1.61,1,17.68,281.3,84.01,15.99,7770,0.8401
SSQ-0025,LOT-SYN-00025,Kenya-Nakuru,potato,2025-B,medium,2,1,9.3,5,33.7,751.8,88.16,11.84,5681,0.8816
SSQ-0026,LOT-SYN-00026,Uganda-Kabale,potato,2025-A,commercial,3,2,12.42,4,31.05,451.9,74.15,25.85,4512,0.7415
SSQ-0027,LOT-SYN-00027,India-Karnataka,sweetpotato,2025-B,small,1,3,15.78,1,46.35,382.7,82.62,17.38,4903,0.8262
SSQ-0028,LOT-SYN-00028,Peru-Cusco,potato,2025-A,medium,2,4,3.23,1,17.76,602.3,82.79,17.21,9124,0.8279
SSQ-0029,LOT-SYN-00029,Kenya-Nakuru,potato,2025-B,commercial,3,5,13.42,5,29.99,635.7,75.99,24.01,3010,0.7599
SSQ-0030,LOT-SYN-00030,Uganda-Kabale,sweetpotato,2025-A,small,1,1,12.28,3,30.17,316.6,79.01,20.99,2437,0.7901
SSQ-0031,LOT-SYN-00031,India-Karnataka,potato,2025-B,medium,2,2,7.24,0,43.86,377.1,87.95,12.05,2643,0.8795
SSQ-0032,LOT-SYN-00032,Peru-Cusco,potato,2025-A,commercial,3,3,3.16,5,18.61,758.4,87.49,12.51,4635,0.8749
SSQ-0033,LOT-SYN-00033,Kenya-Nakuru,sweetpotato,2025-B,small,1,4,3.13,3,32.64,659.4,87.35,12.65,3436,0.8735
SSQ-0034,LOT-SYN-00034,Uganda-Kabale,potato,2025-A,medium,2,5,12.15,7,28.86,620.1,79.31,20.69,9024,0.7931
SSQ-0035,LOT-SYN-00035,India-Karnataka,potato,2025-B,commercial,3,1,8.02,7,40.27,718.6,91.84,8.16,3829,0.9184
SSQ-0036,LOT-SYN-00036,Peru-Cusco,sweetpotato,2025-A,small,1,2,5.17,3,16.73,530.0,86.54,13.46,1863,0.8654
SSQ-0037,LOT-SYN-00037,Kenya-Nakuru,potato,2025-B,medium,2,3,9.71,2,32.09,448.2,84.9,15.1,4077,0.849
SSQ-0038,LOT-SYN-00038,Uganda-Kabale,potato,2025-A,commercial,3,4,8.62,0,33.01,578.9,77.78,22.22,3605,0.7778
SSQ-0039,LOT-SYN-00039,India-Karnataka,sweetpotato,2025-B,small,1,5,1.35,7,38.74,570.6,98.43,1.57,3186,0.9843
SSQ-0040,LOT-SYN-00040,Peru-Cusco,potato,2025-A,medium,2,1,3.95,3,19.71,915.8,82.96,17.04,7800,0.8296
SSQ-0041,LOT-SYN-00041,Kenya-Nakuru,potato,2025-B,commercial,3,2,8.21,2,34.37,684.1,87.69,12.31,8508,0.8769
SSQ-0042,LOT-SYN-00042,Uganda-Kabale,sweetpotato,2025-A,small,1,3,0.77,4,30.18,509.6,94.8,5.2,2845,0.948
SSQ-0043,LOT-SYN-00043,India-Karnataka,potato,2025-B,medium,2,4,0.66,7,38.68,437.0,100,0,3503,1.0
SSQ-0044,LOT-SYN-00044,Peru-Cusco,potato,2025-A,commercial,3,5,10.14,7,21.62,528.6,72.76,27.24,6804,0.7276
SSQ-0045,LOT-SYN-00045,Kenya-Nakuru,sweetpotato,2025-B,small,1,1,9.43,5,32.87,390.5,88.83,11.17,7530,0.8883
SSQ-0046,LOT-SYN-00046,Uganda-Kabale,potato,2025-A,medium,2,2,2.45,5,22.08,587.7,93.68,6.32,3497,0.9368
SSQ-0047,LOT-SYN-00047,India-Karnataka,potato,2025-B,commercial,3,3,7.51,1,45.27,476.9,84.02,15.98,7680,0.8402
SSQ-0048,LOT-SYN-00048,Peru-Cusco,sweetpotato,2025-A,small,1,4,13.68,3,21.57,550.8,67.08,32.92,2602,0.6708
SSQ-0049,LOT-SYN-00049,Kenya-Nakuru,potato,2025-B,medium,2,5,13.74,7,38.43,543.7,80.0,20.0,9935,0.8
SSQ-0050,LOT-SYN-00050,Uganda-Kabale,potato,2025-A,commercial,3,1,9.92,0,26.88,664.9,65.84,34.16,1922,0.6584
SSQ-0051,LOT-SYN-00051,India-Karnataka,sweetpotato,2025-B,small,1,2,10.31,4,41.56,331.9,86.82,13.18,7885,0.8682
SSQ-0052,LOT-SYN-00052,Peru-Cusco,potato,2025-A,medium,2,3,12.76,5,15.26,862.4,69.3,30.7,6582,0.693
SSQ-0053,LOT-SYN-00053,Kenya-Nakuru,potato,2025-B,commercial,3,4,7.36,4,32.49,729.2,84.93,15.07,4169,0.8493
SSQ-0054,LOT-SYN-00054,Uganda-Kabale,sweetpotato,2025-A,small,1,5,7.89,0,24.34,229.6,72.39,27.61,9957,0.7239
SSQ-0055,LOT-SYN-00055,India-Karnataka,potato,2025-B,medium,2,1,2.47,5,42.43,761.0,100,0,9235,1.0
SSQ-0056,LOT-SYN-00056,Peru-Cusco,potato,2025-A,commercial,3,2,8.4,2,19.28,427.7,65.26,34.74,2905,0.6526
SSQ-0057,LOT-SYN-00057,Kenya-Nakuru,sweetpotato,2025-B,small,1,3,14.23,1,30.65,341.1,74.38,25.62,5236,0.7438
SSQ-0058,LOT-SYN-00058,Uganda-Kabale,potato,2025-A,medium,2,4,10.05,2,32.63,523.2,77.71,22.29,9658,0.7771
SSQ-0059,LOT-SYN-00059,India-Karnataka,potato,2025-B,commercial,3,5,7.17,4,47.89,624.3,85.98,14.02,3498,0.8598
