record_id,location,season,block,replicate,lab_batch,genotype,flesh_color,orange_color_index,carotenoid_pathway_score,storage_days,beta_carotene_ug_g,iron_mg_kg,dry_matter_pct,sensory_acceptance_score,rack_slot_number,beta_carotene_mg_100g
SPN-0001,Maputo,2025-B,1,1,LAB-A,SP-SYN-001,cream,31.7,59.6,41.1,79.07,26.23,20.3,6.1,340,7.907
SPN-0002,Maputo,2025-B,2,2,LAB-A,SP-SYN-001,cream,30.2,60.1,38.5,68.19,30.88,22.9,6.3,206,6.819
SPN-0003,Maputo,2025-B,3,3,LAB-A,SP-SYN-001,cream,30.2,56.5,42.4,65.53,17.81,22.9,6.2,441,6.553
SPN-0004,Kampala,2025-B,1,1,LAB-A,SP-SYN-001,cream,32.2,57.4,35.8,76.49,26.39,19.9,7.7,104,7.649
SPN-0005,Kampala,2025-B,2,2,LAB-A,SP-SYN-001,cream,30.3,61.5,43.5,68.3,23.3,21.6,8.5,768,6.83
SPN-0006,Kampala,2025-B,3,3,LAB-A,SP-SYN-001,cream,32.9,62.3,41.4,77.49,24.38,25.2,9,311,7.749
SPN-0007,Lima,2025-B,1,1,LAB-A,SP-SYN-001,cream,30.7,60.1,44.0,70.41,29.1,22.2,8.0,774,7.041
SPN-0008,Lima,2025-B,2,2,LAB-A,SP-SYN-001,cream,30.2,58.5,40.0,65.02,25.35,18.6,6.7,755,6.502
SPN-0009,Lima,2025-B,3,3,LAB-A,SP-SYN-001,cream,34.7,62.7,38.6,85.78,19.9,21.4,5.3,285,8.578
SPN-0010,Maputo,2025-B,1,1,LAB-B,SP-SYN-002,cream,40.6,71.2,17.8,61.94,12.62,23.9,8.0,242,6.194
SPN-0011,Maputo,2025-B,2,2,LAB-B,SP-SYN-002,cream,42.4,71.9,10.5,62.33,25.37,24.5,7.4,298,6.233
SPN-0012,Maputo,2025-B,3,3,LAB-B,SP-SYN-002,cream,43.6,67.0,12.8,60.06,24.9,19.2,7.0,814,6.006
SPN-0013,Kampala,2025-B,1,1,LAB-B,SP-SYN-002,cream,44.2,69.4,8.9,56.38,27.67,19.1,7.2,399,5.638
SPN-0014,Kampala,2025-B,2,2,LAB-B,SP-SYN-002,cream,42.7,67.6,13.0,57.97,23.72,21.8,8.0,337,5.797
SPN-0015,Kampala,2025-B,3,3,LAB-B,SP-SYN-002,cream,40.5,67.9,12.3,49.72,25.82,20.3,7.4,511,4.972
SPN-0016,Lima,2025-B,1,1,LAB-B,SP-SYN-002,cream,42.4,70.7,11.1,59.77,20.88,20.9,7.7,269,5.977
SPN-0017,Lima,2025-B,2,2,LAB-B,SP-SYN-002,cream,43.7,68.5,15.4,59.15,19.51,20.2,8.5,705,5.915
SPN-0018,Lima,2025-B,3,3,LAB-B,SP-SYN-002,cream,41.6,68.5,11.2,47.42,25.62,21.3,5.5,706,4.742
SPN-0019,Maputo,2025-B,1,1,LAB-A,SP-SYN-003,purple,30.3,53.0,38.5,70.47,24.31,21.6,6.5,729,7.047
SPN-0020,Maputo,2025-B,2,2,LAB-A,SP-SYN-003,purple,26.3,57.6,43.7,65.49,24.65,19.0,6.5,687,6.549
SPN-0021,Maputo,2025-B,3,3,LAB-A,SP-SYN-003,purple,28.7,53.1,39.1,61.74,25.4,22.5,6.8,626,6.174
SPN-0022,Kampala,2025-B,1,1,LAB-A,SP-SYN-003,purple,25.6,57.6,42.4,62.29,25.53,24.0,5.5,203,6.229
SPN-0023,Kampala,2025-B,2,2,LAB-A,SP-SYN-003,purple,31.1,60.8,40.5,71.72,28.62,22.5,5.3,203,7.172
SPN-0024,Kampala,2025-B,3,3,LAB-A,SP-SYN-003,purple,27.8,50.8,44.2,61.04,19.58,22.4,7.0,472,6.104
SPN-0025,Lima,2025-B,1,1,LAB-A,SP-SYN-003,purple,28.3,58.9,42.1,65.25,18.39,20.7,6.4,458,6.525
SPN-0026,Lima,2025-B,2,2,LAB-A,SP-SYN-003,purple,27.3,50.7,39.5,64.91,25.78,20.6,6.2,213,6.491
SPN-0027,Lima,2025-B,3,3,LAB-A,SP-SYN-003,purple,30.5,57.7,41.0,63.25,19.05,21.6,6.2,374,6.325
SPN-0028,Maputo,2025-B,1,1,LAB-B,SP-SYN-004,orange,74.3,11.0,1.4,58.4,22.85,20.2,6.5,710,5.84
SPN-0029,Maputo,2025-B,2,2,LAB-B,SP-SYN-004,orange,75.8,13.7,6.0,61.37,22.24,18.1,8.6,714,6.137
SPN-0030,Maputo,2025-B,3,3,LAB-B,SP-SYN-004,orange,75.2,9.2,4.2,72.47,32.04,19.3,6.1,577,7.247
SPN-0031,Kampala,2025-B,1,1,LAB-B,SP-SYN-004,orange,77.5,12.7,11.1,73.73,27.35,17.4,6.7,704,7.373
