record_id,country,district_code,survey_round,cluster,enumerator_team,respondent_gender,respondent_age_years,education_band,extension_contacts_year,market_access_score,smartphone_owned,annual_farm_income_usd,technology_adopted,questionnaire_version_digit,post_adoption_sales_usd
VCA-0001,Kenya,D-KE-02,2026-baseline,CL-02,TEAM-2,man,19,secondary,6,78.8,0,5376.72,0,2992,0.0
VCA-0002,Uganda,D-UG-03,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,31,post-secondary,7,52.4,1,8031.55,1,2702,2741.98
VCA-0003,Peru,D-PE-04,2026-baseline,CL-04,TEAM-4,woman,42,primary,3,47.5,0,4974.02,0,8879,0.0
VCA-0004,Kenya,D-KE-05,2026-baseline,CL-05,TEAM-5,man,72,secondary,5,84.6,1,4758.83,0,4614,0.0
VCA-0005,Uganda,D-UG-06,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,59,post-secondary,8,58.2,1,2153.54,1,6603,706.2
VCA-0006,Peru,D-PE-07,2026-baseline,CL-07,TEAM-1,woman,38,primary,7,51.3,0,4066.89,1,2638,2244.91
VCA-0007,Kenya,D-KE-08,2026-baseline,CL-08,TEAM-2,man,31,secondary,0,69.8,1,1432.64,0,2990,0.0
VCA-0008,Uganda,D-UG-01,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,63,post-secondary,1,66.1,1,3745.67,1,6439,1214.53
VCA-0009,Peru,D-PE-02,2026-baseline,CL-10,TEAM-4,woman,31,primary,5,36.4,1,1785.91,1,5910,774.59
VCA-0010,Kenya,D-KE-03,2026-baseline,CL-11,TEAM-5,man,31,secondary,3,45.4,1,7628.81,0,6388,0.0
VCA-0011,Uganda,D-UG-04,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,43,post-secondary,3,67.7,1,2766.57,1,8682,1442.97
VCA-0012,Peru,D-PE-05,2026-baseline,CL-13,TEAM-1,woman,20,primary,8,29.0,1,4247.73,1,9634,1913.68
VCA-0013,Kenya,D-KE-06,2026-baseline,CL-14,TEAM-2,man,23,secondary,5,34.5,0,3747.25,0,6723,0.0
VCA-0014,Uganda,D-UG-07,2026-baseline,CL-15,TEAM-3,another/prefer-not-to-say,57,post-secondary,0,28.9,1,4103.82,1,8842,1878.48
VCA-0015,Peru,D-PE-08,2026-baseline,CL-16,TEAM-4,woman,45,primary,3,60.3,0,5328.71,0,4162,0.0
VCA-0016,Kenya,D-KE-01,2026-baseline,CL-17,TEAM-5,man,29,secondary,3,70.2,1,3026.03,1,9719,1511.99
VCA-0017,Uganda,D-UG-02,2026-baseline,CL-18,TEAM-6,another/prefer-not-to-say,25,post-secondary,5,29.4,1,3236.97,1,5331,1209.88
VCA-0018,Peru,D-PE-03,2026-baseline,CL-19,TEAM-1,woman,70,primary,4,24.8,0,2759.67,0,9891,0.0
VCA-0019,Kenya,D-KE-04,2026-baseline,CL-20,TEAM-2,man,60,secondary,4,81.7,0,1471.67,1,1944,613.75
VCA-0020,Uganda,D-UG-05,2026-baseline,CL-21,TEAM-3,another/prefer-not-to-say,72,post-secondary,4,26.9,1,3938.99,1,2191,1685.34
VCA-0021,Peru,D-PE-06,2026-baseline,CL-22,TEAM-4,woman,56,primary,6,62.4,1,5190.07,1,4936,2014.87
VCA-0022,Kenya,D-KE-07,2026-baseline,CL-23,TEAM-5,man,51,secondary,4,27.5,1,4528.8,0,5640,0.0
VCA-0023,Uganda,D-UG-08,2026-baseline,CL-24,TEAM-6,another/prefer-not-to-say,27,post-secondary,8,41.5,1,2455.78,1,6022,1250.79
VCA-0024,Peru,D-PE-01,2026-baseline,CL-25,TEAM-1,woman,62,primary,1,85.4,0,1680.49,0,2138,0.0
VCA-0025,Kenya,D-KE-02,2026-baseline,CL-26,TEAM-2,man,63,secondary,3,50.8,1,4738.78,0,5780,0.0
VCA-0026,Uganda,D-UG-03,2026-baseline,CL-27,TEAM-3,another/prefer-not-to-say,70,post-secondary,2,29.9,1,6022.09,1,1938,2926.39
VCA-0027,Peru,D-PE-04,2026-baseline,CL-28,TEAM-4,woman,26,primary,7,67.1,1,3055.42,0,6999,0.0
VCA-0028,Kenya,D-KE-05,2026-baseline,CL-29,TEAM-5,man,57,secondary,2,46.7,0,4542.76,1,8571,1332.5
VCA-0029,Uganda,D-UG-06,2026-baseline,CL-30,TEAM-6,another/prefer-not-to-say,64,post-secondary,6,100,0,3818.82,1,2083,2323.6
VCA-0030,Peru,D-PE-07,2026-baseline,CL-01,TEAM-1,woman,69,primary,4,15.6,0,3248.39,0,1293,0.0
VCA-0031,Kenya,D-KE-08,2026-baseline,CL-02,TEAM-2,man,23,secondary,5,32.9,0,2843.62,0,3797,0.0
VCA-0032,Uganda,D-UG-01,2026-baseline,CL-03,TEAM-3,another/prefer-not-to-say,19,post-secondary,7,73.8,1,5953.79,1,6064,3313.63
VCA-0033,Peru,D-PE-02,2026-baseline,CL-04,TEAM-4,woman,42,primary,8,46.5,0,3783.27,1,9237,1352.73
VCA-0034,Kenya,D-KE-03,2026-baseline,CL-05,TEAM-5,man,51,secondary,4,41.8,0,5315.55,0,8395,0.0
VCA-0035,Uganda,D-UG-04,2026-baseline,CL-06,TEAM-6,another/prefer-not-to-say,50,post-secondary,5,38.1,0,7319.47,1,8589,4346.88
VCA-0036,Peru,D-PE-05,2026-baseline,CL-07,TEAM-1,woman,27,primary,0,71.7,0,3645.85,0,4328,0.0
VCA-0037,Kenya,D-KE-06,2026-baseline,CL-08,TEAM-2,man,46,secondary,2,50.8,0,2485.55,0,3277,0.0
VCA-0038,Uganda,D-UG-07,2026-baseline,CL-09,TEAM-3,another/prefer-not-to-say,51,post-secondary,8,22.7,1,4921.89,1,8492,2028.24
VCA-0039,Peru,D-PE-08,2026-baseline,CL-10,TEAM-4,woman,25,primary,3,51.2,0,3744.97,1,7245,2176.9
VCA-0040,Kenya,D-KE-01,2026-baseline,CL-11,TEAM-5,man,43,secondary,1,84.2,1,3675.66,0,7015,0.0
VCA-0041,Uganda,D-UG-02,2026-baseline,CL-12,TEAM-6,another/prefer-not-to-say,56,post-secondary,0,55.8,1,3012.08,0,2957,0.0
VCA-0042,Peru,D-PE-03,2026-baseline,CL-13,TEAM-1,woman,69,primary,7,49.8,0,10603.77,1,3512,5067.96
